page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:전남|목포시:초등수학과외,subject_grade,초등수학과외,목포시,목포시,/목포시초등수학과외/,목포시초등수학과외,excel_slug_missing,
category:전남|목포시:중등수학과외,subject_grade,중등수학과외,목포시,목포시,/목포시중등수학과외/,목포시중등수학과외,excel_slug_missing,
category:전남|목포시:고등수학과외,subject_grade,고등수학과외,목포시,목포시,/목포시고등수학과외/,목포시고등수학과외,excel_slug_missing,
category:전남|목포시:초등영어과외,subject_grade,초등영어과외,목포시,목포시,/목포시초등영어과외/,목포시초등영어과외,excel_slug_missing,
category:전남|목포시:중등영어과외,subject_grade,중등영어과외,목포시,목포시,/목포시중등영어과외/,목포시중등영어과외,excel_slug_missing,
category:전남|목포시:고등영어과외,subject_grade,고등영어과외,목포시,목포시,/목포시고등영어과외/,목포시고등영어과외,excel_slug_missing,
region:전남|목포시|상동,dong,과외,상동,상동,/전남과외/목포시과외/상동과외/,상동과외,excel_slug_missing,
category:전남|목포시|상동:수학과외,subject,수학과외,상동,상동,/상동수학과외/,상동수학과외,excel_slug_missing,
category:전남|목포시|상동:영어과외,subject,영어과외,상동,상동,/상동영어과외/,상동영어과외,excel_slug_missing,
category:전남|목포시|상동:초등과외,grade,초등과외,상동,상동,/상동초등과외/,상동초등과외,excel_slug_missing,
category:전남|목포시|상동:중등과외,grade,중등과외,상동,상동,/상동중등과외/,상동중등과외,excel_slug_missing,
category:전남|목포시|상동:고등과외,grade,고등과외,상동,상동,/상동고등과외/,상동고등과외,excel_slug_missing,
category:전남|목포시|상동:초등수학과외,subject_grade,초등수학과외,상동,상동,/상동초등수학과외/,상동초등수학과외,excel_slug_missing,
category:전남|목포시|상동:중등수학과외,subject_grade,중등수학과외,상동,상동,/상동중등수학과외/,상동중등수학과외,excel_slug_missing,
category:전남|목포시|상동:고등수학과외,subject_grade,고등수학과외,상동,상동,/상동고등수학과외/,상동고등수학과외,excel_slug_missing,
category:전남|목포시|상동:초등영어과외,subject_grade,초등영어과외,상동,상동,/상동초등영어과외/,상동초등영어과외,excel_slug_missing,
category:전남|목포시|상동:중등영어과외,subject_grade,중등영어과외,상동,상동,/상동중등영어과외/,상동중등영어과외,excel_slug_missing,
category:전남|목포시|상동:고등영어과외,subject_grade,고등영어과외,상동,상동,/상동고등영어과외/,상동고등영어과외,excel_slug_missing,
region:경북|포항시 남구,district,과외,포항시 남구,포항시 남구,/경북과외/포항시-남구과외/,포항시-남구과외,hub_page_no_content,
category:경북|포항시 남구:수학과외,subject,수학과외,포항시 남구,포항시 남구,/포항시-남구수학과외/,포항시-남구수학과외,excel_slug_missing,
